address,year
"г. Пермь, ул. Адмирала Ушакова, д. 31",1949
"г. Пермь, ул. Адмирала Ушакова, д. 32",2007
"г. Пермь, ул. Адмирала Ушакова, д. 53",1980
"г. Пермь, ул. Адмирала Ушакова, д. 55",1984
"г. Пермь, ул. Адмирала Ушакова, д. 55, к. 2",1986
"г. Пермь, ул. Адмирала Ушакова, д. 55/1",1982
"г. Пермь, ул. Адмирала Ушакова, д. 55/2",1986
"г. Пермь, ул. Адмирала Ушакова, д. 57, к. 1",1981
"г. Пермь, ул. Адмирала Ушакова, д. 57, к. 2",1981
"г. Пермь, ул. Адмирала Ушакова, д. 57/2",1981
"г. Пермь, ул. Адмирала Ушакова, д. 59",1961
"г. Пермь, ул. Адмирала Ушакова, д. 59/1",1984
"г. Пермь, ул. Адмирала Ушакова, д. 59/2",1984
"г. Пермь, ул. Адмирала Ушакова, д. 61",1962
"г. Пермь, ул. Адмирала Ушакова, д. 76",1989
"г. Пермь, ул. Адмирала Ушакова, д. 201",1951
"г. Пермь, ул. Азотная, д. 32",1949
"г. Пермь, ул. Академика Вавилова, д. 4",1970
"г. Пермь, ул. Академика Вавилова, д. 5",1971
"г. Пермь, ул. Академика Вавилова, д. 7",1969
"г. Пермь, ул. Академика Вавилова, д. 9",1973
"г. Пермь, ул. Академика Вавилова, д. 11",2004
"г. Пермь, ул. Академика Вавилова, д. 11, к. А",2005
"г. Пермь, ул. Академика Вавилова, д. 13",1969
"г. Пермь, ул. Академика Вавилова, д. 15",1969
"г. Пермь, ул. Академика Вавилова, д. 17",1969
"г. Пермь, ул. Академика Вавилова, д. 19",1972
"г. Пермь, ул. Академика Вавилова, д. 21",1969
"г. Пермь, ул. Академика Вавилова, д. 23",1970
"г. Пермь, ул. Академика Веденеева, д. 7",1971
"г. Пермь, ул. Академика Веденеева, д. 19",1953
"г. Пермь, ул. Академика Веденеева, д. 20",1953
"г. Пермь, ул. Академика Веденеева, д. 21",1953
"г. Пермь, ул. Академика Веденеева, д. 23",1953
