address,year,Lon,Lat
"г. Пермь, ул. Адмирала Ушакова, д. 30",1967,56.023406,58.034649
"г. Пермь, ул. Адмирала Ушакова, д. 31",1949,56.023172,58.034182
"г. Пермь, ул. Адмирала Ушакова, д. 32",2007,56.01462,58.032805
"г. Пермь, ул. Адмирала Ушакова, д. 53",1980,56.008817,58.028297
"г. Пермь, ул. Адмирала Ушакова, д. 55",1984,56.003634,58.027773
"г. Пермь, ул. Адмирала Ушакова, д. 55, к. 2",1986,56.001972,58.026576
"г. Пермь, ул. Адмирала Ушакова, д. 55/1",1982,56.005907,58.028673
"г. Пермь, ул. Адмирала Ушакова, д. 55/2",1986,56.001972,58.026576
"г. Пермь, ул. Адмирала Ушакова, д. 57, к. 1",1981,56.00685,58.028349
"г. Пермь, ул. Адмирала Ушакова, д. 57, к. 2",1981,56.007182,58.027992
"г. Пермь, ул. Адмирала Ушакова, д. 57/2",1981,56.007182,58.027992
"г. Пермь, ул. Адмирала Ушакова, д. 59",1961,56.010057,58.029379
"г. Пермь, ул. Адмирала Ушакова, д. 59/1",1984,56.000445,58.025661
"г. Пермь, ул. Адмирала Ушакова, д. 59/2",1984,56.001873,58.025685
"г. Пермь, ул. Адмирала Ушакова, д. 61",1962,56.009176,58.029088
"г. Пермь, ул. Адмирала Ушакова, д. 76",1989,56.000831,58.027892
"г. Пермь, ул. Адмирала Ушакова, д. 201",1951,56.012572,58.031108
"г. Пермь, ул. Азотная, д. 32",1949,56.392317,58.082997
"г. Пермь, ул. Академика Вавилова, д. 4",1970,56.198335,57.992771
"г. Пермь, ул. Академика Вавилова, д. 5",1971,56.196942,57.992489
"г. Пермь, ул. Академика Вавилова, д. 7",1969,56.196592,57.993286
"г. Пермь, ул. Академика Вавилова, д. 9",1973,56.195909,57.993105
"г. Пермь, ул. Академика Вавилова, д. 11",2004,56.195819,57.993944
"г. Пермь, ул. Академика Вавилова, д. 11, к. А",2005,56.195837,57.994364
"г. Пермь, ул. Академика Вавилова, д. 13",1969,56.19502,57.994221
"г. Пермь, ул. Академика Вавилова, д. 15",1969,56.194265,57.994731
"г. Пермь, ул. Академика Вавилова, д. 17",1969,56.194661,57.995251
"г. Пермь, ул. Академика Вавилова, д. 19",1972,56.195909,57.995151
"г. Пермь, ул. Академика Вавилова, д. 21",1969,56.195065,57.995724
"г. Пермь, ул. Академика Вавилова, д. 23",1970,56.195622,57.996038
"г. Пермь, ул. Академика Веденеева, д. 7",1971,56.368646,58.114045
"г. Пермь, ул. Академика Веденеева, д. 19",1953,56.369024,58.111611
"г. Пермь, ул. Академика Веденеева, д. 20",1953,56.368386,58.111392
"г. Пермь, ул. Академика Веденеева, д. 21",1953,56.369338,58.111354
"г. Пермь, ул. Академика Веденеева, д. 23",1953,56.369625,58.111121
"г. Пермь, ул. Академика Веденеева, д. 24",1953,56.369024,58.110903
